instance,pop_size,mutation_rate,crossover,best_fitness
A/A-n32-k5.vrp,20,0.1,2x0.0,844.0
A/A-n32-k5.vrp,20,0.1,ux0.5,826.0
A/A-n32-k5.vrp,20,0.1,ux0.75,819.0
A/A-n32-k5.vrp,80,0.1,2x0.0,838.0
A/A-n32-k5.vrp,80,0.1,ux0.5,792.0
A/A-n32-k5.vrp,80,0.1,ux0.75,871.0
A/A-n32-k5.vrp,150,0.1,2x0.0,806.0
A/A-n32-k5.vrp,150,0.1,ux0.5,856.0
A/A-n32-k5.vrp,150,0.1,ux0.75,866.0
A/A-n80-k10.vrp,20,0.1,2x0.0,2065.0
A/A-n80-k10.vrp,20,0.1,ux0.5,2198.0
A/A-n80-k10.vrp,20,0.1,ux0.75,2145.0
A/A-n80-k10.vrp,80,0.1,2x0.0,2117.0
A/A-n80-k10.vrp,80,0.1,ux0.5,2156.0
A/A-n80-k10.vrp,80,0.1,ux0.75,2224.0
A/A-n80-k10.vrp,150,0.1,2x0.0,1958.0
A/A-n80-k10.vrp,150,0.1,ux0.5,2305.0
A/A-n80-k10.vrp,150,0.1,ux0.75,2383.0
A/A-n46-k7.vrp,20,0.1,2x0.0,983.0
A/A-n46-k7.vrp,20,0.1,ux0.5,1029.0
A/A-n46-k7.vrp,20,0.1,ux0.75,1032.0
A/A-n46-k7.vrp,80,0.1,2x0.0,999.0
A/A-n46-k7.vrp,80,0.1,ux0.5,1026.0
A/A-n46-k7.vrp,80,0.1,ux0.75,985.0
A/A-n46-k7.vrp,150,0.1,2x0.0,1007.0
A/A-n46-k7.vrp,150,0.1,ux0.5,1029.0
A/A-n46-k7.vrp,150,0.1,ux0.75,1041.0
B/B-n78-k10.vrp,20,0.1,2x0.0,1492.0
B/B-n78-k10.vrp,20,0.1,ux0.5,1432.0
B/B-n78-k10.vrp,20,0.1,ux0.75,1460.0
B/B-n78-k10.vrp,80,0.1,2x0.0,1366.0
B/B-n78-k10.vrp,80,0.1,ux0.5,1566.0
B/B-n78-k10.vrp,80,0.1,ux0.75,1453.0
B/B-n78-k10.vrp,150,0.1,2x0.0,1350.0
B/B-n78-k10.vrp,150,0.1,ux0.5,1784.0
B/B-n78-k10.vrp,150,0.1,ux0.75,1511.0
B/B-n50-k8.vrp,20,0.1,2x0.0,1330.0
B/B-n50-k8.vrp,20,0.1,ux0.5,1392.0
B/B-n50-k8.vrp,20,0.1,ux0.75,1380.0
B/B-n50-k8.vrp,80,0.1,2x0.0,1349.0
B/B-n50-k8.vrp,80,0.1,ux0.5,1352.0
B/B-n50-k8.vrp,80,0.1,ux0.75,1372.0
B/B-n50-k8.vrp,150,0.1,2x0.0,1337.0
B/B-n50-k8.vrp,150,0.1,ux0.5,1422.0
B/B-n50-k8.vrp,150,0.1,ux0.75,1423.0
A/A-n32-k5.vrp,20,0.25,2x0.0,784.0
A/A-n32-k5.vrp,20,0.25,ux0.5,914.0
A/A-n32-k5.vrp,20,0.25,ux0.75,858.0
A/A-n32-k5.vrp,80,0.25,2x0.0,799.0
A/A-n32-k5.vrp,80,0.25,ux0.5,837.0
A/A-n32-k5.vrp,80,0.25,ux0.75,828.0
A/A-n32-k5.vrp,150,0.25,2x0.0,830.0
A/A-n32-k5.vrp,150,0.25,ux0.5,796.0
A/A-n32-k5.vrp,150,0.25,ux0.75,791.0
A/A-n80-k10.vrp,20,0.25,2x0.0,2067.0
A/A-n80-k10.vrp,20,0.25,ux0.5,2088.0
A/A-n80-k10.vrp,20,0.25,ux0.75,2151.0
A/A-n80-k10.vrp,80,0.25,2x0.0,2025.0
A/A-n80-k10.vrp,80,0.25,ux0.5,2146.0
A/A-n80-k10.vrp,80,0.25,ux0.75,2152.0
A/A-n80-k10.vrp,150,0.25,2x0.0,2073.0
A/A-n80-k10.vrp,150,0.25,ux0.5,2518.0
A/A-n80-k10.vrp,150,0.25,ux0.75,2297.0
A/A-n46-k7.vrp,20,0.25,2x0.0,969.0
A/A-n46-k7.vrp,20,0.25,ux0.5,1059.0
A/A-n46-k7.vrp,20,0.25,ux0.75,1033.0
A/A-n46-k7.vrp,80,0.25,2x0.0,984.0
A/A-n46-k7.vrp,80,0.25,ux0.5,1008.0
A/A-n46-k7.vrp,80,0.25,ux0.75,1009.0
A/A-n46-k7.vrp,150,0.25,2x0.0,925.0
A/A-n46-k7.vrp,150,0.25,ux0.5,1048.0
A/A-n46-k7.vrp,150,0.25,ux0.75,1013.0
B/B-n78-k10.vrp,20,0.25,2x0.0,1504.0
B/B-n78-k10.vrp,20,0.25,ux0.5,1438.0
B/B-n78-k10.vrp,20,0.25,ux0.75,1668.0
B/B-n78-k10.vrp,80,0.25,2x0.0,1331.0
B/B-n78-k10.vrp,80,0.25,ux0.5,1553.0
B/B-n78-k10.vrp,80,0.25,ux0.75,1566.0
B/B-n78-k10.vrp,150,0.25,2x0.0,1376.0
B/B-n78-k10.vrp,150,0.25,ux0.5,1549.0
B/B-n78-k10.vrp,150,0.25,ux0.75,1455.0
B/B-n50-k8.vrp,20,0.25,2x0.0,1535.0
B/B-n50-k8.vrp,20,0.25,ux0.5,1359.0
B/B-n50-k8.vrp,20,0.25,ux0.75,1334.0
B/B-n50-k8.vrp,80,0.25,2x0.0,1337.0
B/B-n50-k8.vrp,80,0.25,ux0.5,1419.0
B/B-n50-k8.vrp,80,0.25,ux0.75,1341.0
B/B-n50-k8.vrp,150,0.25,2x0.0,1333.0
B/B-n50-k8.vrp,150,0.25,ux0.5,1377.0
B/B-n50-k8.vrp,150,0.25,ux0.75,1356.0
A/A-n32-k5.vrp,20,0.4,2x0.0,845.0
A/A-n32-k5.vrp,20,0.4,ux0.5,837.0
A/A-n32-k5.vrp,20,0.4,ux0.75,864.0
A/A-n32-k5.vrp,80,0.4,2x0.0,830.0
A/A-n32-k5.vrp,80,0.4,ux0.5,864.0
A/A-n32-k5.vrp,80,0.4,ux0.75,848.0
A/A-n32-k5.vrp,150,0.4,2x0.0,830.0
A/A-n32-k5.vrp,150,0.4,ux0.5,798.0
A/A-n32-k5.vrp,150,0.4,ux0.75,847.0
A/A-n80-k10.vrp,20,0.4,2x0.0,2068.0
A/A-n80-k10.vrp,20,0.4,ux0.5,2112.0
A/A-n80-k10.vrp,20,0.4,ux0.75,2159.0
A/A-n80-k10.vrp,80,0.4,2x0.0,1995.0
A/A-n80-k10.vrp,80,0.4,ux0.5,2394.0
A/A-n80-k10.vrp,80,0.4,ux0.75,2107.0
A/A-n80-k10.vrp,150,0.4,2x0.0,1999.0
A/A-n80-k10.vrp,150,0.4,ux0.5,2281.0
A/A-n80-k10.vrp,150,0.4,ux0.75,2166.0
A/A-n46-k7.vrp,20,0.4,2x0.0,939.0
A/A-n46-k7.vrp,20,0.4,ux0.5,1053.0
A/A-n46-k7.vrp,20,0.4,ux0.75,1108.0
A/A-n46-k7.vrp,80,0.4,2x0.0,969.0
A/A-n46-k7.vrp,80,0.4,ux0.5,1060.0
A/A-n46-k7.vrp,80,0.4,ux0.75,1001.0
A/A-n46-k7.vrp,150,0.4,2x0.0,1065.0
A/A-n46-k7.vrp,150,0.4,ux0.5,980.0
A/A-n46-k7.vrp,150,0.4,ux0.75,993.0
B/B-n78-k10.vrp,20,0.4,2x0.0,1480.0
B/B-n78-k10.vrp,20,0.4,ux0.5,1626.0
B/B-n78-k10.vrp,20,0.4,ux0.75,1468.0
B/B-n78-k10.vrp,80,0.4,2x0.0,1382.0
B/B-n78-k10.vrp,80,0.4,ux0.5,1556.0
B/B-n78-k10.vrp,80,0.4,ux0.75,1417.0
B/B-n78-k10.vrp,150,0.4,2x0.0,1411.0
B/B-n78-k10.vrp,150,0.4,ux0.5,1631.0
B/B-n78-k10.vrp,150,0.4,ux0.75,1546.0
B/B-n50-k8.vrp,20,0.4,2x0.0,1407.0
B/B-n50-k8.vrp,20,0.4,ux0.5,1421.0
B/B-n50-k8.vrp,20,0.4,ux0.75,1367.0
B/B-n50-k8.vrp,80,0.4,2x0.0,1374.0
B/B-n50-k8.vrp,80,0.4,ux0.5,1429.0
B/B-n50-k8.vrp,80,0.4,ux0.75,1371.0
B/B-n50-k8.vrp,150,0.4,2x0.0,1334.0
B/B-n50-k8.vrp,150,0.4,ux0.5,1339.0
B/B-n50-k8.vrp,150,0.4,ux0.75,1344.0

